Iteration;Oil_Price_USD;Sanctions_Years;RUB_EUR;Industrial_Growth_pct;Win_Rate_pct;CAPEX_Overrun;Revenue_M_EUR_yr;NPV_M_EUR;ROI_5yr_pct;Payback_Years
233;70.8203;7.2502;95.9359;4.7998;60.4839;0.8;1.1933;-10.2731;-50.2782;10.056
234;58.2712;3.0397;91.1478;4.0324;80.528;1.1588;2.0106;-12.3166;-42.1651;8.6453
235;108.591;1.4621;104.5749;7.2279;58.1201;1.306;2.3272;-14.3269;-40.6023;8.4178
236;81.4105;6.8185;98.2783;6.0255;63.7909;1.0904;1.3237;-15.0368;-59.5348;12.3563
237;33.5474;6.9912;140.4856;6.6209;54.4735;0.9128;0.6475;-15.6497;-76.3528;21.1441
238;73.3562;4.8182;111.1974;4.6361;40.2176;1.0418;0.7035;-18.311;-77.4916;22.214
239;58.0878;4.6802;112.1221;5.8335;67.7517;0.8;1.2316;-9.8204;-48.6831;9.7434
240;85.3438;6.4747;133.8152;4.7375;46.4956;1.2364;0.5806;-23.4063;-84.3476;31.944
241;55.7346;6.2303;90.7382;6.8044;50.6661;1.1046;0.9485;-18.3384;-71.377;17.4685
242;67.9347;7.2967;72.9446;4.4912;83.0617;0.8988;1.8551;-8.101;-31.1998;7.2674
243;79.0898;4.5464;135.2213;2.5038;52.319;1.0165;0.7751;-17.3013;-74.5832;19.672
244;85.5836;8.5332;103.4544;1.6021;73.1545;1.2291;1.0641;-19.9669;-71.1416;17.326
245;48.3947;9.4938;103.5452;7.1025;68.0008;1.2622;0.7107;-22.8204;-81.232;26.6411
246;63.979;2.1637;85.3566;5.3178;57.8987;0.9852;1.7628;-10.6904;-40.3606;8.3837
247;61.451;6.8369;85.7089;5.4164;65.2179;1.5362;1.2103;-25.7035;-73.7376;19.0386
248;58.2401;4.2327;123.5753;6.8345;41.5351;1.3147;0.7173;-24.2014;-81.8135;27.4929
249;101.7782;3.6182;127.9109;2.1224;69.3228;1.1114;1.2661;-16.5306;-62.0249;13.1665
250;77.2897;4.9275;121.6473;4.0621;71.7602;0.924;1.199;-13.3774;-56.7448;11.5593
251;47.3041;1.6529;121.9255;4.2459;67.1313;0.9296;1.3922;-11.5299;-50.0768;10.0154
252;86.5215;4.2711;115.2873;5.7134;42.7536;1.0409;0.8284;-17.325;-73.4739;18.8494
253;108.1988;7.0699;103.3427;3.561;67.4471;0.9782;1.0978;-14.4908;-62.5918;13.3661
254;88.5844;2.7516;95.7102;2.7979;48.0577;1.4051;1.5097;-20.6242;-64.1832;13.9599
